"You will be redirected to Adyen website when you place an order.", "Sie werden auf Adyens Webseite für Ihre Bestellung weitergeleitet."
"%s ( Qty: %s ) (Price: %s %s ) <br />","%s ( Qty: %s ) (Price: %s %s ) <br />"
"Adyen %s <br /> authResult: %s <br /> pspReference: %s","Adyen %s <br /> authResult: %s <br /> pspReference: %s"
"Adyen %s <br /> eventCode: %s <br /> pspReference: %s <br /> success: %s","Adyen %s <br /> eventCode: %s <br /> pspReference: %s <br /> success: %s"
"Adyen response(s): %s <br /> pspReference: %s","Adyen response(s): %s <br /> pspReference: %s"
"Authorize Only","Nur Authorisieren"
"Authorize and Capture","Authorisieren und Einziehen"
"Can not connect payment service. Please try again later.","Verbindung mit der Bezahlmethode konnte nicht hergestellt werden. Bitte versuchen Sie es später erneut."
"Capture Mode set to Manual","Capture Modus wurde auf manuell umgestellt"
"Customer was redirected to Adyen.", "Der Kunde wurde an Adyen weitergeleitet"
"Order can not Hold","Kann Auftrag nicht halten"
"Order can not be canceled", "Die Bestellung kann nicht annulliert werden"
"Order rows: <br />","Order rows: <br />"
"Shipment cost: %s %s <br />","Versandkosten: %s %s <br />"
"System error, please try again later","Systemfehler, bitte versuchen Sie es später erneut."
"System error, please try again later: %s", "Systemfehler, bitte versuchen Sie es später erneut: %s"
"The payment is REFUSED.", "Die Bezahlung wurde zurückgewiesen."
"You will be redirected to Adyen in a few seconds.", "In einigen Sekunden werden Sie zu Adyen weitergeleitet."
"Your payment failed, Please try again later","Ihre Bezahlung ist fehlgeschlagen."
"Your openinvoice payment failed","Ihre Bezahlung ist fehlgeschlagen."
"--Please Select--","--Bitte auswählen--"
"Account Number","Kontonummer"
"Account holder name","Name des Kontoinhabers"
"Account holder: %s","Kontoinhaber: %s"
"Account number: xxx%s","Kontonummer: xxx%s"
"Bank Location","Sitz der Bank"
"Bank Location (City)","Sitz der Bank (Stadt)"
"Bank Location ID","Sitz der Bank ID"
"Bank Name","Name der Bank"
"Bank code: %s", "Bankleitzahl"
"Bank name: %s","Name der Bank: %s"
"Card Verification Number","CVN(Kartenprüfnummer)"
"Credit Card Number","Kreditkartennummer"
"Credit Card Number: xxxx-%s","Kreditkartennummer: xxxx-%s"
"Credit Card Type", "Kreditkartentyp"
"Credit Card Type: %s", "Kreditkartentyp: %s"
"Expiration Date","Gültig bis"
"Expiration Date: %s/%s","Gültig bis: %s/%s"
"Name on Card","Name auf der Karte"
"Name on the Card: %s","Name auf der Karte: %s"
"Payment Method: %s","Bezahlmethode: %s"
"Submitting payment information...","Bezahldaten werden übermittelt..."
"What is this?","Was ist das?"
"Order email sent to shopper.","Auftragsbestätigung wurde an den Kunden verschickt."
"The payment is PENDING by Adyen.","Die Bezahlung ist noch AUSSTEHEND durch Adyen."
"The payment is AUTHORIZED by Adyen.","Die Bezahlung wurde von ADYEN authorisiert."
"There has an error occurred with your Adyen payment.","Bei der Adyenbezahlung ist ein Fehler aufgetreten."
"There was an error with your payment.","Bei der Bezahlung ist ein Fehler aufgetreten."
"You will be redirected to Adyen website when you place an order.","Sie werden auf Adyens Webseite für Ihre Bestellung weitergeleitet."
"Your payment is cancelled.","Ihre Bezahlung wurde annuliert."
"Your payment is CANCELLED","Ihre Bezahlung wurde ANNULLIERT"
"Your payment is pending.","Ihre Bezahlung befindet sich in bearbeitung."
"Your payment is refused.","Ihre Bezahlung wurde abgelehnt."
"Your payment is authorized.","Ihre Bezahlung wurde authorisiert."
"Remember these details","Sollen diese Angaben für weitere Besuche gespeichert werden"
"Choose Your Bank","Wählen Sie ihre Bank aus"
"You chose an invalid bank","Sie haben eine ungültige Bank ausgewählt"
"You have cancelled the order. Please try again", "Sie haben den Auftrag storniert. Bitte versuchen Sie es erneut"
"Bank account holder name","Kontoinhabers Name"
"IBAN","IBAN"
"I agree that the above amount will be debited from my bank account.", "Ich bin damit einverstanden, dass die oben genannten Betrag von meinem Konto abgebucht."
"Invalid Iban number.","Ungültige IBAN-Nummer"
"POS Payment","POS Zahlung"
"Payment","Zahlung"
"If you stuck on this page please press the payment button","Wenn Sie auf dieser Seite fest drücken Sie bitte die Taste Zahlungs"
"Click here to pay for your purchase", "Klicken Sie hier, um die für Ihren Kauf zahlen"
"Please accept the conditions for a SEPA direct debit.", "Bitte akzeptieren Sie die Bedingungen für eine SEPA-Lastschrift."
"Shopper Details", "Shopper Details"
"Save Card", "Guardar la tarjeta"
"There are no saved cards for this account.", "Es sind keine Karten für dieses Konto gespeichert."
"This is a new Customer", "Dies ist ein neuer Kunde"
"You will be redirected to Adyen app when you place an order.", "Sie werden auf Adyens app für Ihre Bestellung weitergeleitet."
